Reach,River Sta,Profile,Q Total,SA Chan,SA Left,SA Right,SA Total
,,,(cfs),(acres),(acres),(acres),(acres)
Mariposa Bypass,3585,PF 15,1500,10.93,2.82,5.86,19.61
Mariposa Bypass,3585,PF 16,1600,10.93,3.41,7,21.34
Mariposa Bypass,3585,PF 17,1700,10.93,4.12,8.18,23.23
Mariposa Bypass,3585,PF 18,1800,10.93,5.24,9.46,25.64
Mariposa Bypass,3585,PF 19,1900,10.93,5.9,11,27.83
Mariposa Bypass,3585,PF 20,2000,10.93,6.49,12.96,30.37
Mariposa Bypass,3585,PF 21,2100,10.93,7.21,15.1,33.24
Mariposa Bypass,3585,PF 22,2200,10.93,7.95,17.61,36.49
Mariposa Bypass,3585,PF 23,2300,10.93,8.46,20.16,39.56
Mariposa Bypass,3585,PF 24,2400,10.93,8.93,22.71,42.57
Mariposa Bypass,3585,PF 25,2500,10.93,9.3,25.67,45.9
Mariposa Bypass,3585,PF 26,2600,10.93,9.53,29.04,49.5
Mariposa Bypass,3585,PF 27,2700,10.93,9.87,32.86,53.66
Mariposa Bypass,3585,PF 28,2800,10.93,10.24,36.43,57.6
Mariposa Bypass,3585,PF 29,2900,10.93,10.6,39.75,61.28
Mariposa Bypass,3585,PF 30,3000,10.93,11.06,42.25,64.24
Mariposa Bypass,3585,PF 31,3100,10.93,11.5,44.93,67.36
Mariposa Bypass,3585,PF 32,3200,10.93,11.86,46.64,69.42
Mariposa Bypass,3585,PF 33,3300,10.93,12.2,48.14,71.27
Mariposa Bypass,3585,PF 34,3400,10.93,12.63,49.28,72.84
Mariposa Bypass,3585,PF 35,3500,10.93,13.03,50,73.96
Mariposa Bypass,3585,PF 36,3600,10.93,13.46,50.67,75.06
Mariposa Bypass,3585,PF 37,3700,10.93,13.88,51.28,76.09
Mariposa Bypass,3585,PF 38,3800,10.93,14.34,51.95,77.22
Mariposa Bypass,3585,PF 39,3900,10.93,14.6,52.62,78.15
Mariposa Bypass,3585,PF 40,4000,10.93,14.81,52.99,78.73
Mariposa Bypass,3585,PF 41,4100,10.93,15.02,53.47,79.42
Mariposa Bypass,3585,PF 42,4200,10.93,15.31,53.78,80.03
Mariposa Bypass,3585,PF 43,4300,10.93,15.61,53.97,80.52
Mariposa Bypass,3585,PF 44,4400,10.93,15.88,54.16,80.96
Mariposa Bypass,3585,PF 45,4500,10.93,16.05,54.38,81.36
,,,,,,,
Mariposa Bypass,3036,PF 1,100,8.43,0.01,0.01,8.44
Mariposa Bypass,3036,PF 2,200,8.66,0.05,0.02,8.73
Mariposa Bypass,3036,PF 3,300,8.76,0.35,0.04,9.15
Mariposa Bypass,3036,PF 4,400,8.86,0.47,0.21,9.53
Mariposa Bypass,3036,PF 5,500,8.89,0.57,0.93,10.4
Mariposa Bypass,3036,PF 6,600,8.93,0.67,1.2,10.8
Mariposa Bypass,3036,PF 7,700,8.94,0.75,1.27,10.97
Mariposa Bypass,3036,PF 8,800,8.95,0.95,1.34,11.25
Mariposa Bypass,3036,PF 9,900,8.96,1.16,1.66,11.79
Mariposa Bypass,3036,PF 10,1000,8.97,1.51,2.33,12.81
Mariposa Bypass,3036,PF 11,1100,8.97,1.74,2.88,13.59
Mariposa Bypass,3036,PF 12,1200,8.97,1.91,3.32,14.2
Mariposa Bypass,3036,PF 13,1300,8.98,2.04,4.02,15.04
Mariposa Bypass,3036,PF 14,1400,8.98,2.27,4.91,16.16
Mariposa Bypass,3036,PF 15,1500,8.98,2.76,5.82,17.56
Mariposa Bypass,3036,PF 16,1600,8.98,3.35,6.95,19.29
Mariposa Bypass,3036,PF 17,1700,8.98,4.06,8.12,21.16
Mariposa Bypass,3036,PF 18,1800,8.98,5.18,9.4,23.56
Mariposa Bypass,3036,PF 19,1900,8.98,5.83,10.91,25.73
Mariposa Bypass,3036,PF 20,2000,8.98,6.42,12.8,28.2
Mariposa Bypass,3036,PF 21,2100,8.98,7.14,14.82,30.94
Mariposa Bypass,3036,PF 22,2200,8.98,7.87,17.17,34.03
Mariposa Bypass,3036,PF 23,2300,8.98,8.38,19.47,36.84
Mariposa Bypass,3036,PF 24,2400,8.98,8.85,21.75,39.59
Mariposa Bypass,3036,PF 25,2500,8.98,9.21,24.44,42.64
Mariposa Bypass,3036,PF 26,2600,8.98,9.44,27.42,45.85
Mariposa Bypass,3036,PF 27,2700,8.98,9.78,30.85,49.61
Mariposa Bypass,3036,PF 28,2800,8.98,10.15,33.99,53.12
Mariposa Bypass,3036,PF 29,2900,8.98,10.49,36.9,56.37
Mariposa Bypass,3036,PF 30,3000,8.98,10.93,39.3,59.21
Mariposa Bypass,3036,PF 31,3100,8.98,11.32,41.87,62.18
Mariposa Bypass,3036,PF 32,3200,8.98,11.66,43.44,64.08
Mariposa Bypass,3036,PF 33,3300,8.98,11.98,44.87,65.83
Mariposa Bypass,3036,PF 34,3400,8.98,12.39,45.83,67.21
Mariposa Bypass,3036,PF 35,3500,8.98,12.75,46.46,68.2
Mariposa Bypass,3036,PF 36,3600,8.98,13.15,47.04,69.18
Mariposa Bypass,3036,PF 37,3700,8.98,13.54,47.47,70
Mariposa Bypass,3036,PF 38,3800,8.98,13.98,47.94,70.9
Mariposa Bypass,3036,PF 39,3900,8.98,14.21,48.44,71.64
Mariposa Bypass,3036,PF 40,4000,8.98,14.41,48.73,72.12
Mariposa Bypass,3036,PF 41,4100,8.98,14.62,49.03,72.64
Mariposa Bypass,3036,PF 42,4200,8.98,14.91,49.25,73.14
Mariposa Bypass,3036,PF 43,4300,8.98,15.2,49.39,73.58
