Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
LESB,54436,3300,13.88,8.45,,8.45,,1.93,,1.93,,93.01,79.13
LESB,54436,3400,14.02,8.51,,8.51,,1.95,,1.95,,93.15,79.13
LESB,54436,3500,14.17,8.6,,8.6,,1.98,,1.98,,93.3,79.13
LESB,54436,3600,14.31,8.69,,8.69,,2,,2,,93.44,79.13
LESB,54436,3700,14.44,8.65,0.03,8.68,,2.03,0.04,2.03,,93.57,79.13
LESB,54436,3800,14.59,8.45,0.07,8.8,,2.05,0.08,2.05,,93.72,79.13
LESB,54436,3900,14.71,7.69,0.1,8.91,,2.07,0.11,2.07,,93.84,79.13
LESB,54436,4000,14.84,7.2,0.16,9.02,,2.08,0.14,2.09,,93.97,79.13
LESB,54436,4100,14.96,6.21,0.18,9.12,,2.1,0.16,2.12,,94.09,79.13
LESB,54436,4200,15.08,5.91,0.25,9.22,0.01,2.11,0.18,2.14,0.02,94.21,79.13
LESB,54436,4300,15.19,5.56,0.32,9.33,0.07,2.12,0.22,2.16,0.08,94.32,79.13
LESB,54436,4400,15.29,5.39,0.4,9.44,0.12,2.12,0.25,2.18,0.12,94.42,79.13
LESB,54436,4500,15.4,4.92,0.47,9.55,0.1,2.13,0.28,2.21,0.12,94.53,79.13
,,,,,,,,,,,,,
LESB,54174,100,2.95,0.81,,0.81,,4.53,,4.53,,84.03,81.08
LESB,54174,200,3.83,1.18,,1.18,,3.71,,3.71,,84.91,81.08
LESB,54174,300,4.51,1.56,,1.56,,3.32,,3.32,,85.59,81.08
LESB,54174,400,5.08,1.96,,1.96,,3.21,,3.21,,86.16,81.08
LESB,54174,500,5.56,1.83,,1.83,,3.15,,3.15,,86.64,81.08
LESB,54174,600,5.97,2.15,,2.15,,3.07,,3.07,,87.05,81.08
LESB,54174,700,6.33,2.44,,2.44,,3.06,,3.06,,87.41,81.08
LESB,54174,800,6.66,2.59,,2.59,,3.07,,3.07,,87.74,81.08
LESB,54174,900,6.99,2.41,,2.41,,3.03,,3.03,,88.07,81.08
LESB,54174,1000,7.29,2.66,,2.66,,2.99,,2.99,,88.37,81.08
LESB,54174,1100,7.57,2.89,,2.89,,2.97,,2.97,,88.65,81.08
LESB,54174,1200,7.84,3.06,,3.06,,2.96,,2.96,,88.92,81.08
LESB,54174,1300,8.09,3.25,,3.25,,2.96,,2.96,,89.17,81.08
LESB,54174,1400,8.34,3.43,,3.43,,2.96,,2.96,,89.42,81.08
LESB,54174,1500,8.59,3.54,,3.54,,2.95,,2.95,,89.67,81.08
LESB,54174,1600,8.84,3.72,,3.72,,2.94,,2.94,,89.92,81.08
LESB,54174,1700,9.08,3.9,,3.9,,2.93,,2.93,,90.16,81.08
LESB,54174,1800,9.29,4.03,,4.03,,2.94,,2.94,,90.37,81.08
LESB,54174,1900,9.51,4.15,,4.15,,2.95,,2.95,,90.59,81.08
LESB,54174,2000,9.71,4.28,,4.28,,2.96,,2.96,,90.79,81.08
LESB,54174,2100,9.88,4.39,,4.39,,2.98,,2.98,,90.96,81.08
LESB,54174,2200,10.07,4.49,,4.49,,2.99,,2.99,,91.15,81.08
LESB,54174,2300,10.25,4.56,,4.56,,3.01,,3.01,,91.33,81.08
LESB,54174,2400,10.41,4.57,,4.57,,3.03,,3.03,,91.49,81.08
LESB,54174,2500,10.58,4.67,,4.67,,3.05,,3.05,,91.66,81.08
LESB,54174,2600,10.73,4.64,,4.64,,3.06,,3.06,,91.81,81.08
LESB,54174,2700,10.89,4.58,,4.58,,3.08,,3.08,,91.97,81.08
LESB,54174,2800,11.04,4.68,,4.68,,3.09,,3.09,,92.12,81.08
LESB,54174,2900,11.19,4.78,,4.78,,3.1,,3.1,,92.27,81.08
LESB,54174,3000,11.34,4.88,,4.88,,3.11,,3.11,,92.42,81.08
LESB,54174,3100,11.48,4.99,,4.99,,3.12,,3.12,,92.56,81.08
LESB,54174,3200,11.62,5.11,,5.11,,3.13,,3.13,,92.7,81.08
LESB,54174,3300,11.77,5.22,,5.22,,3.14,,3.14,,92.85,81.08
