Reach,River Sta,Q Total,Max Chl Dpth,Hydr Depth,Hydr Depth L,Hydr Depth C,Hydr Depth R,Vel Total,Vel Left,Vel Chnl,Vel Right,W.S. Elev,Min Ch El
,,(cfs),(ft),(ft),(ft),(ft),(ft),(ft/s),(ft/s),(ft/s),(ft/s),(ft),(ft)
Rch2B-3_RM216.1,455714,1800,9.02,9.02,,9.02,,0.6,,0.6,,146.62,137.6
Rch2B-3_RM216.1,455714,1900,9.3,9.3,,9.3,,0.61,,0.61,,146.9,137.6
Rch2B-3_RM216.1,455714,2000,9.55,9.55,,9.55,,0.63,,0.63,,147.15,137.6
Rch2B-3_RM216.1,455714,2100,9.79,9.79,,9.79,,0.64,,0.64,,147.39,137.6
Rch2B-3_RM216.1,455714,2200,10.03,10.03,,10.03,,0.65,,0.65,,147.63,137.6
Rch2B-3_RM216.1,455714,2300,10.28,10.28,,10.28,,0.67,,0.67,,147.88,137.6
Rch2B-3_RM216.1,455714,2400,10.52,10.52,,10.52,,0.68,,0.68,,148.12,137.6
Rch2B-3_RM216.1,455714,2500,10.74,10.74,,10.74,,0.69,,0.69,,148.34,137.6
Rch2B-3_RM216.1,455714,2600,10.93,10.93,,10.93,,0.71,,0.71,,148.53,137.6
Rch2B-3_RM216.1,455714,2700,11.12,11.12,,11.12,,0.72,,0.72,,148.72,137.6
Rch2B-3_RM216.1,455714,2800,11.31,11.31,,11.31,,0.74,,0.74,,148.91,137.6
